No.,Model,Is_latest,Version,icon_en,icon_zh,icon_jp,icon_fr,icon_es,icon_pt-BR,icon_br,icon_de,icon_it,icon_ukr,是否为 status word,icon_desc_en,icon_desc_zh,icon_desc_jp,icon_desc_fr,icon_desc_es,icon_desc_pt-BR,icon_desc_br,icon_desc_de,icon_desc_it,icon_desc_ukr,has_variables,variable_keys,figure,render_preview_en
11,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Remaining Charge Time,剩余充电时间,充電残り時間,Temps de Charge Restant,Tiempo de Carga Restante,Tempo de carregamento restante,,Verbleibende Aufladezeit,Tempo di carica rimanente,"Час, що залишився до повного
заряджання",,Displays the remaining charging time.,显示剩余充电时间。,充電残り時間を表示します。,Affiche le temps de charge restant.,Muestra el tiempo de carga restante.,Exibe o tempo de carregamento restante.,,Anzeige der verbleibenden Ladezeit.,Visualizza il tempo residuo di carica.,Відображає залишковий час заряджання.,FALSE,,data/phase2/_attachments/lcd_icons/11_Remaining_Charge_Time_VeBobGZMDoYpBuxLRcFcti9cnlc.png,
12,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,AC Wall Charging Indicator,市电充电接入,AC入力電力表示,Indicateur de Charge sur Prise Murale CA,Indicador de Carga desde Toma de Corriente CA,Indicador de carregamento em tomada CA,,AC-Netzladeanzeige,"        
Indicatore di ricarica CA a parete","Індикатор заряджання від мережі
змінного струму",,The product is charged via the AC Input using grid power.,产品通过市电进行充电。,製品は、系統電力を使用し、AC入力を介して充電されます。,Le produit est chargé via l'entrée CA en utilisant l'énergie du réseau.,El producto se carga a través de la entrada CA utilizando energía de la red eléctrica.,O produto é carregado pela Entrada CA usando energia da rede.,,Das Produkt wird über den AC-Eingang mit Netzstrom geladen.,Il prodotto viene caricato tramite l'ingresso CA utilizzando l'alimentazione della rete elettrica.,Пристрій заряджається через вхід змінного струму від електромережі.,FALSE,,data/phase2/_attachments/lcd_icons/12_AC_Wall_Charging_Indicator_OG9ebaP1HoaLvZxbGEAcIXkPnkb.png,
13,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Car Charging Indicator,车充充电接入,シガーソケット入力電力表示,Indicateur de Charge Voiture,Indicador de Carga desde Coche,Indicador de carregamento veicular,,Autoladeanzeige ,Indicatore di ricarica da auto,Індикатор заряджання від автомобіля,,The product is charged via the DC Input (DC8020) using DC 12V (car charging).,产品通过 DC 输入端口（DC8020）连接 12V 车载充电线进行充电。,製品は、DC 12V（カーチャージ）を使用し、8020入力ポートを介して充電されます。,Le produit est chargé via l’entrée CC (DC8020) en utilisant du CC 12V (charge via voiture).,El producto se carga a través de la entrada CC (DC8020) utilizando CC 12V (carga desde el coche).,O produto é carregado pela Entrada CC (DC8020) usando CC 12V (carregamento veicular).,,Das Produkt wird über den DC-Eingang (DC8020) mit 12V Gleichstrom (Autoladung) geladen.,Il prodotto viene ricaricato tramite l’ingresso DC (DC8020) utilizzando 12V DC (ricarica da auto).,Пристрій заряджається через вхід постійного струму (DC8020) із використанням 12 В постійного струму (автомобільне заряджання).,FALSE,,data/phase2/_attachments/lcd_icons/13_Car_Charging_Indicator_WgbebOblvoTtesxjb9ec8CkUnyg.png,
14,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Solar Charging Indicator,太阳能（绿色能源）充电接入,ソーラー(グリーンエネルギー)充電接続,Indicateur de Charge Solaire,Indicador de Carga Solar,Indicador de carregamento solar,,Solar-Ladeanzeige,Indicatore di ricarica solare,"Індикатор заряджання від сонячної
панелі",,The product is charged via the DC Input (DC8020) using solar panel(s).,产品通过 DC 输入端口（DC8020）连接太阳能板进行充电。,製品は、ソーラーパネルを使用し、8020入力ポートを介して充電されています。,Le produit est chargé via l’entrée CC (DC8020) à l’aide de panneaux solaires.,El producto se carga a través de la entrada CC (DC8020) utilizando paneles solares.,O produto é carregado pela Entrada CC (DC8020) usando painel(is) solar(es).,,Das Produkt wird über den DC-Eingang (DC8020) mit Solarpanel(s) geladen.,Il prodotto viene ricaricato tramite l’ingresso DC (DC8020) utilizzando uno o più pannelli solari.,Пристрій заряджається через вхід постійного струму (DC8020) із використанням сонячної(-их) панелі(-ей).,FALSE,,data/phase2/_attachments/lcd_icons/14_Solar_Charging_Indicator_ZMSkb6bWWoKo8WxhBk0cZN5Lnpg.png,
15,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Battery Saving Mode,节省电池模式,"バッテリー節約モード
Jackeryアプリで有効/無効にできます",Mode d’Économie de Batterie,Modo de Ahorro de Batería,Modo de economia de bateria,,Batterieschonmodus,Modalità di risparmio della batteria,Режим енергозбереження акумулятора,,"On: Battery Saving Mode is enabled. Charge and discharge limits are applied to help extend battery lifespan.
Off: Battery Saving Mode is disabled.
Enable/disable this feature in the Jackery App. The setting is retained when the device is powered off.
When this feature is enabled, the product occasionally performs a full charge and discharge cycle to calibrate the SOC.","点亮：节省电池模式已开启，通过限制电池的最大可用容量来延长电池使用寿命。
熄灭：节省电池模式未开启/已关闭。
（请在 APP 中开启/关闭该功能，关机可记忆保存）。
注：开启后偶尔会满充满放，用于校准SOC。","バッテリー節約モード設定時は、バッテリー残量が既定値に設定されるため、バッテリーの寿命を延ばすことが可能です。
（Jackeryアプリで設定してください。電源オフ時も設定は保持されます。）
この機能が有効な場合、本製品はSOCを較正するために、時折フル充放電サイクルを実行します。","Allumé : Le mode d’économie de batterie est activé. Des limites de charge et de décharge sont appliquées afin de prolonger la durée de vie de la batterie.
Éteint : Le mode d'économie de batterie est désactivé.
Activez/désactivez cette fonction dans l'application Jackery. Le réglage est conservé lorsque l’appareil est mis hors tension.
Lorsque cette fonction est activée, le produit effectue occasionnellement un cycle de charge-décharge complet pour calibrer le SOC.","Encendido: el modo de ahorro de batería está activado. Se aplican límites de carga y descarga para ayudar a prolongar la vida útil de la batería.
Apagado: el modo de ahorro de batería está desactivado.
Activar/desactivar esta función en la App Jackery. Cuando el dispositivo se apaga, se retiene la configuración.
Cuando esta función está habilitada, el producto ocasionalmente realiza un ciclo completo de carga-descarga para calibrar el SOC.","Ligado: O modo de economia de bateria está ativado. Limites de carga e descarga são aplicados para ajudar a prolongar a vida útil da bateria.
Desligado: O modo de economia de bateria está desativado.
Ative/desative este recurso no aplicativo Jackery. A configuração é mantida quando o dispositivo é desligado.
Quando este recurso está ativado, o produto ocasionalmente executa um ciclo completo de carga e descarga para calibrar o SOC.",,"Ein: Der Batterieschonmodus ist aktiviert. Die maximal nutzbare Batteriekapazität wird begrenzt, um die Batterielebensdauer zu verlängern.
Aus: Der Batterieschonmodus ist deaktiviert.
Aktivieren oder deaktivieren Sie diese Funktion in der Jackery App. Die Einstellung bleibt auch nach dem Ausschalten des Geräts erhalten.
Wenn diese Funktion aktiviert ist, führt das Produkt gelegentlich einen vollständigen Lade- und Entladezyklus durch, um den SOC zu kalibrieren.","On: Limita la capacità massima utilizzabile della batteria per prolungarne la durata.
Off: La Modalità di risparmio della batteria è disabilitata.
Abilita/disabilita questa funzione nell’App Jackery. L’impostazione viene mantenuta quando il dispositivo è spento.
Quando questa funzione è abilitata, il prodotto esegue occasionalmente un ciclo completo di carica e scarica per calibrare il SOC.","Увімкнено: Режим енергозбереження акумулятора увімкнено. Обмеження заряджання та розряджання застосовуються, щоб подовжити термін служби акумулятора.
Вимкнено: Режим енергозбереження акумулятора вимкнено. Увімкніть/вимкніть цю функцію в Jackery App. Налаштування зберігається після вимкнення пристрою.
Коли цю функцію увімкнено, продукт періодично виконує повний цикл заряджання та розряджання для калібрування SOC.",FALSE,,data/phase2/_attachments/lcd_icons/15_Battery_Saving_Mode_QIQlbf95uoUmsFxyEQuc1zxkn22.png,
16,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Charging Power Limit,充电速度限制,充電速度制限,Limite de puissance de charge,Límite de potencia de carga,Limite de potência de carregamento,,Begrenzung der Ladeleistung,Limite di potenza di ricarica,Обмеження потужності заряджання,,"On: Charging Power limit is enabled in the Jackery App.
Off: Charging Power limit is disabled in the Jackery App.
The setting is retained when the device is powered off.","点亮：充电速度限制已开启
关机重启后继续执行此充电功率
熄灭：充电速度限制已关闭。
（请在 APP 中开启/关闭该功能，关机可记忆保存）。","点灯時：アプリ側で充電速度制限が有効になっています。
消灯時：アプリ側で充電速度制限が無効になっています。
（Jackeryアプリで設定してください。電源オフ時も設定は保持されます。）","Allumé : La limite de puissance de charge est activée dans l'application Jackery.
Éteint : La limite de puissance de charge est désactivée dans l'application Jackery.
Le réglage est conservé lorsque l’appareil est mis hors tension.","Encendido: El límite de potencia de carga está activado en la aplicación Jackery.
Apagado: El límite de potencia de carga está desactivado en la aplicación Jackery.
Cuando el dispositivo se apaga, se retiene la configuración.","Ligado: O limite de potência de carregamento está ativado no aplicativo Jackery.
Desligado: O limite de potência de carregamento está desativado no aplicativo Jackery.
A configuração é mantida quando o dispositivo é desligado.",,"Ein: Die Begrenzung der Ladeleistung ist in der Jackery App aktiviert.
Aus: Die Begrenzung der Ladeleistung ist in der Jackery App deaktiviert.
Die Einstellung bleibt auch nach dem Ausschalten des Geräts erhalten.","On: Il limite di potenza di ricarica è abilitato nell’App Jackery.
Off: Il limite di potenza di carica è disabilitato nell’App Jackery.
L’impostazione viene mantenuta quando il dispositivo è spento.","Увімкнено: Обмеження потужності заряджання активовано в Jackery App.
Вимкнено: Обмеження потужності заряджання вимкнено в Jackery App.
Налаштування зберігається після вимкнення пристрою.",FALSE,,data/phase2/_attachments/lcd_icons/16_Charging_Power_Limit_YgjLbaQ2YoZwavxUqrHclXNdnuK.png,
17,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Battery Power Indicator,电池电量图标,バッテリーアイコン,Indicateur de Puissance de la Batterie,Indicador de Potencia de la Batería,Indicador de energia da bateria,,Batteriezustandsanzeige,Indicatore di carica della batteria,Індикатор заряду акумулятора,,"When the product is being charged, the orange circle around the battery percentage will light up in sequence. When charging other devices, the orange circle will stay on.","当本产品处于充电状态时，该图标顺时针转动；
当产品处于放电状态时，该图标显示当前电量。",製品の充電中は、バッテリーのパーセンテージを囲むオレンジ色の円が順番に点灯します。他のデバイスの充電時には、オレンジ色の円は点灯したままになります。,"Lorsque le produit est en charge, le cercle orange autour du pourcentage de batterie s’allume en séquence. Lorsqu’il charge d’autres appareils, le cercle orange reste allumé.","Cuando el producto se está cargando, el círculo naranja alrededor del porcentaje de batería se ilumina secuencialmente. Cuando está cargando otros dispositivos, el círculo naranja permanece encendido.","Quando o produto estiver sendo carregado, o círculo laranja ao redor da porcentagem da bateria acenderá em sequência. Ao carregar outros dispositivos, o círculo laranja permanece aceso.",,"Wenn das Produkt geladen wird, leuchtet der orangefarbene Kreis um die Batterieanzeige nacheinander auf. Beim Laden anderer Geräte bleibt der orangefarbene Kreis dauerhaft eingeschaltet.","Quando il prodotto è in carica, il cerchio arancione attorno alla percentuale della batteria si accende in sequenza. Durante la ricarica di altri dispositivi, il cerchio arancione rimarrà acceso.","Коли пристрій заряджається, помаранчеве коло навколо відсотка заряду акумулятора почергово засвічуватиметься. Під час заряджання інших пристроїв помаранчеве коло світитиметься постійно.",FALSE,,data/phase2/_attachments/lcd_icons/17_Battery_Power_Indicator_WqL2b7JZio7HnGxsWaOctZ7inkh.png,
18,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Remaining Battery Percentage,电池电量百分比,バッテリーレベルパーセントタグ,Pourcentage de Batterie Restant,Porcentaje de Batería Restante,Porcentagem de bateria restante,,Verbleibender Batterieprozentsatz,Percentuale di batteria residua,"Залишковий відсоток заряду
акумулятора",,Displays the remaining battery percentage.,显示当前电池电量。,バッテリー残量を表示します。,Affiche le pourcentage de batterie restant.,Muestra el porcentaje de batería restante.,Exibe a porcentagem de bateria restante.,,Zeigt den verbleibenden Batteriestand an.,Mostra la percentuale residua della batteria.,Відображає залишковий відсоток заряду акумулятора.,FALSE,,data/phase2/_attachments/lcd_icons/18_Remaining_Battery_Percentage_F7gbbsgPKo4mdkx4JqccMfQRngc.png,
19,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Low Battery Indicator,低电量提醒,バッテリー残量警告灯,Indicateur de Batterie Faible,Indicador de Batería Baja,Indicador de bateria fraca,,Batterietiefstandsanzeige,Indicatore di batteria scarica,"Індикатор низького рівня заряду
батареї",,"On: The battery level is below 20%.
Blink: The battery level is below 5%.
Off: The battery level is not below 20% or the product is charging.","点亮：当前电池电量低于 20%。
闪烁：当前电池电量低于 5%。
熄灭：设备正在充电中。","オン：バッテリー残量が20％未満です。
点滅：バッテリー残量が5％未満です。
オフ：製品は充電中です。","
Allumé : Le niveau de la batterie est inférieur à 20 %.
Clignotant : Le niveau de la batterie est inférieur à 5 %.
Éteint : Le niveau de la batterie n'est pas inférieur à 20 % ou le produit est en charge.","Encendido: el nivel de la batería está por debajo del 20 %.
Parpadeo: el nivel de la batería está por debajo del 5 %.
Apagado: el nivel de la batería no está por debajo del 20 % o el producto se está cargando.","Ligado: O nível da bateria está abaixo de 20%.
Pisca: O nível da bateria está abaixo de 5%.
Desligado: O nível da bateria não está abaixo de 20% ou o produto está carregando.",,"Ein: Der Batteriestand liegt unter 20 %.
Blinkt: Der Batteriestand liegt unter 5 %.
Aus: Der Batteriestand liegt nicht unter 20 % oder das Produkt wird aufgeladen.","Acceso: il livello della batteria è inferiore al 20%.
Lampeggiante: il livello della batteria è inferiore al 5%.
Spento: il livello della batteria non è inferiore al 20% oppure il prodotto è in carica.","Увімкнено: Рівень заряду батареї нижче 20%.
Блимає: Рівень заряду батареї нижче 5%.
Вимкнено: Рівень заряду батареї не нижче 20% або пристрій заряджається.",FALSE,,data/phase2/_attachments/lcd_icons/19_Low_Battery_Indicator_TcggbK0LLodgNwx04T6cEqjPn5f.png,
20,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Discharge Timer,放电倒计时,放電タイマー,Minuterie de décharge,Temporizador de descarga,Temporizador de descarga,,Entlade-Timer,Timer di scarica,Таймер розряджання,,"On: A discharge timer is set.
Off: No discharge timer is set.
Enable/disable this feature in the Jackery App. The setting is not retained when the device is powered off.","通过App为输出端口设置关闭倒计时，时间结束后自动断电，节约能源并保护电池。
仅对当前设置有效，设备重启后需重新设定。","オン：放電タイマーが設定されています。
オフ：放電タイマーは設定されていません。
Jackeryアプリで設定してください。本設定は、デバイスの電源を切ると保持されません。","Activé : une minuterie de décharge est définie.
Désactivé : aucune minuterie de décharge n’est définie.
Activez/désactivez cette fonction dans l'application Jackery. Le réglage n'est pas conservé lorsque l'appareil est mis hors tension.","Activado: se ha configurado un temporizador de descarga.
Desactivado: no se ha configurado un temporizador de descarga.
Activar/desactivar esta función en la App Jackery. Cuando el dispositivo esté apagado, este ajuste no se conservará.","Ligado: Um temporizador de descarga está definido.
Desligado: Nenhum temporizador de descarga está definido.
Ative/desative este recurso no aplicativo Jackery. A configuração não é mantida quando o dispositivo é desligado.",,"Ein: Ein Entlade-Timer ist eingerichtet.
Aus: Es ist kein Entlade-Timer eingerichtet.
Aktivieren oder deaktivieren Sie diese Funktion in der Jackery App. Die Einstellung bleibt nach dem Ausschalten des Geräts nicht erhalten.
","On: È impostato un Timer di scarica.
Off: Non è impostato alcun timer di scarica.
Abilita/disabilita questa funzione nell’App Jackery. L’impostazione non viene mantenuta allo spegnimento del dispositivo.","Увімкнено: Таймер розряджання встановлено.
Вимкнено: Таймер розряджання не встановлено.
Увімкніть/вимкніть цю функцію в Jackery App. Налаштування не зберігається після вимкнення пристрою.",FALSE,,data/phase2/_attachments/lcd_icons/20_Discharge_Timer_X2jjb9dwIomvH6xVJLJclRzpnAh.png,
21,JE-2000E,TRUE,V1.0,Connected Batteries,加电包接入及数量,接続済みバッテリーパック,Batteries connectées,Baterías conectadas,Baterias conectadas,,Angeschlossene Batterien,Batterie collegate,Підключені акумулятори,,Displays the quantity of battery packs if any are connected.,显示加电包的接入状态及数量。,本製品に接続されているバッテリーパックの台数を表示します。,Indique que le produit est connecté au nombre spécifié de blocs-batterie 2000.,Indica que el producto está conectado al número especificado de baterías adicionales 2000.,"Exibe a quantidade de baterias conectadas, se houver.",,Zeigt die Anzahl der angeschlossenen Batteriepacks an.,"Visualizza il numero di pacchi batteria, se collegati.","Відображає кількість акумуляторних блоків, якщо вони підключені.",FALSE,,data/phase2/_attachments/lcd_icons/21_Connected_Batteries_JUdEbyBUeo6BHWxDDzBc6X2Hntc.png,
22,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Energy Saving Mode,节能模式,省エネモード,Mode d’Économie d’Énergie,Modo de Ahorro de Energía,Modo de economia de energia,,Energiesparmodus,Modalità di risparmio energetico,РЕЖИМ ЕНЕРГОЗБЕРЕЖЕННЯ,,"When the AC or DC output is turned on by pressing the {{AC_POWER_BUTTON_LABEL}} or {{DC_USB_POWER_BUTTON_LABEL}} power button:
On: Energy Saving Mode is enabled.
Off: Energy Saving Mode is disabled.
The setting is retained when the device is powered off.","出厂默认开启，默认时间为 12H。AC 输出≤25W、DC 输出≤2W（不含应急灯）且持续达到设定时间后，将自动关闭对应输出。
点亮：节能模式开启。
熄灭：节能模式关闭。
（可在 APP 中设置时间，关机可记忆保存）。","ACまたはDC出力を{{AC_POWER_BUTTON_LABEL}}または{{DC_USB_POWER_BUTTON_LABEL}}電源ボタンを押してオンにしたとき：
アイコン表示：省エネモードがオンになっています。
アイコン無表示：省エネモードがオフになっています。
電源オフ時も設定は保持されます。","Lorsque la sortie CA ou CC est activée en appuyant sur le bouton d'alimentation {{AC_POWER_BUTTON_LABEL}} ou {{DC_USB_POWER_BUTTON_LABEL}} :
Allumé : Mode d'économie d'énergie activé.
Éteint : Mode d'économie d'énergie désactivé.
Le réglage est conservé lorsque l’appareil est mis hors tension.","Cuando las salidas CA o CC se encienden presionando los botones de encendido {{AC_POWER_BUTTON_LABEL}} o {{DC_USB_POWER_BUTTON_LABEL}}:
Encendido: Modo de ahorro de energía activado.
Apagado: Modo de ahorro de energía desactivado.
Cuando el dispositivo se apaga, se retiene la configuración.","Quando a saída CA ou CC é ligada pressionando o {{AC_POWER_BUTTON_LABEL}} ou o {{DC_USB_POWER_BUTTON_LABEL}}:
Ligado: O modo de economia de energia está ativado.
Desligado: O modo de economia de energia está desativado.
A configuração é mantida quando o dispositivo é desligado.",,"Wenn der AC- oder DC-Ausgang durch Drücken der {{AC_POWER_BUTTON_LABEL}}- oder {{DC_USB_POWER_BUTTON_LABEL}}-Taste eingeschaltet wird:
Ein: Der Energiesparmodus ist aktiviert.
Aus: Der Energiesparmodus ist deaktiviert.
Die Einstellung bleibt erhalten, wenn das Gerät ausgeschaltet wird.","Quando l'uscita AC o DC viene attivata premendo il pulsante di alimentazione {{AC_POWER_BUTTON_LABEL}} o {{DC_USB_POWER_BUTTON_LABEL}}:
On: La Modalità di risparmio energetico è abilitata.
Off: La Modalità di risparmio energetico è disabilitata.
L'impostazione viene mantenuta quando il dispositivo viene spento.","Коли вихід змінного або постійного струму увімкнено натисканням кнопки живлення {{AC_POWER_BUTTON_LABEL}} або {{DC_USB_POWER_BUTTON_LABEL}}:
Увімкнено: Режим енергозбереження увімкнено.
Вимкнено: Режим енергозбереження вимкнено.
Налаштування зберігається після вимкнення пристрою.",TRUE,"AC_POWER_BUTTON_LABEL, DC_USB_POWER_BUTTON_LABEL",data/phase2/_attachments/lcd_icons/22_Energy_Saving_Mode_FdBWbTvwwosJ7TxfeVIc2Flinkh.png,
23,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,High Temperature Indicator,高温警告,高温インジケーター,Indicateur de Température Élevée,Indicador de Alta Temperatura,Indicador de alta temperatura,,Warnung vor hoher Temperatur,Indicatore di temperatura elevata,Індикатор високої температури,,High temperature protection is triggered. The product may stop functioning until its temperature returns to the normal operating range.,如果屏幕上出现【高温警告符号】，请勿担心，电池降温后可自行恢复。,高温保護が作動しました。製品の温度が通常の動作範囲に戻るまで、製品の機能が停止する場合があります。,La protection contre les températures élevées est déclenchée. Le produit peut cesser de fonctionner jusqu'à ce que sa température revienne dans la plage de fonctionnement normale.,Se activó la protección por alta temperatura. El producto puede dejar de funcionar hasta que su temperatura vuelva al rango normal de operación.,A proteção contra alta temperatura foi acionada. O produto pode parar de funcionar até que sua temperatura retorne à faixa normal de operação.,,"Der Hochtemperaturschutz wurde aktiviert. Das Produkt kann die Funktion einstellen, bis die Temperatur wieder im normalen Betriebsbereich liegt.",La protezione da alta temperatura è stata attivata. Il prodotto potrebbe smettere di funzionare finché la temperatura non rientra nel normale intervallo operativo.,"Активовано захист від високої температури. Продукт може припинити роботу, доки його температура не повернеться до нормального робочого діапазону.",FALSE,,data/phase2/_attachments/lcd_icons/23_High_Temperature_Indicator_HbD7betDOoeilexZaaQcqOknnMd.png,
24,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Low Temperature Indicator,低温警告,低温インジケーター,Indicateur de Basse Température,Indicador de Baja Temperatura,Indicador de baixa temperatura,,Warnung bei niedriger Temperatur,Indicatore di bassa temperatura,Індикатор низької температури,,"Low temperature protection is triggered.
The product may stop functioning until its temperature returns to the normal operating range.",如果屏幕上出现【低温警告符号】，请勿担心，环境温度恢复后自动恢复。,低温保護が作動しました。製品の温度が通常の動作範囲に戻るまで、製品の機能が停止する場合があります。,La protection contre les basses températures est déclenchée. Le produit peut cesser de fonctionner jusqu'à ce que sa température revienne dans la plage de fonctionnement normale.,Se activó la protección por baja temperatura. El producto puede dejar de funcionar hasta que su temperatura vuelva al rango normal de operación.,A proteção contra baixa temperatura foi acionada. O produto pode parar de funcionar até que sua temperatura retorne à faixa normal de operação.,,"Der Niedrigtemperaturschutz wurde aktiviert. 
Das Produkt kann die Funktion einstellen, bis die Temperatur wieder im normalen Betriebsbereich liegt.","È stata attivata la protezione da bassa temperatura. 
Il prodotto potrebbe smettere di funzionare finché la temperatura non rientra nel normale intervallo operativo.","Активовано захист від низької температури.
Продукт може припинити роботу, доки його температура не повернеться до нормального робочого діапазону.",FALSE,,data/phase2/_attachments/lcd_icons/24_Low_Temperature_Indicator_PkYSbqrsooorJhxkTOfcUutJnKu.png,
25,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Fault code,故障代码,エラーコード,Code d’erreur,Código de fallo,Código de falha,,Fehlermeldung,Codice di errore,Код помилки,,A product error has occurred. Please refer to the Troubleshooting section for details.,产品发生故障，请参考故障代码模块内容了解详情。,製品エラーが発生しました。詳細については、トラブルシューティングのセクションを参照してください。,Une erreur produit s’est produite. Veuillez consulter la section « Dépannage » pour plus de détails.,"Se ha producido un error en el producto. Por favor, consulte la sección de solución de problemas para más detalles.",Ocorreu um erro no produto. Consulte a seção Solução de problemas para obter detalhes.,,Ein Produktfehler ist aufgetreten. Bitte lesen Sie den Abschnitt „Fehlerbehebung“ für weitere Informationen.,"Si è verificato un errore del prodotto. Per maggiori dettagli, consultare la sezione “Risoluzione dei problemi”.","Виникла помилка продукту. Будь ласка, зверніться до розділу «Усунення несправностей» для отримання детальної інформації.",FALSE,,data/phase2/_attachments/lcd_icons/25_Fault_code_LaTmb4IQYo3vwvxMqQNcC2RgnIf.png,
26,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Output Power,放电功率显示,消費電力,Puissance de Sortie,Potencia de Salida,Potência de saída,,Ausgangsleistung,Potenza in uscita,Вихідна потужність,,Displays the output power in watts.,显示当前放电功率。,出力電力をワットで表示します。,Affiche la puissance de sortie en watts.,Muestra la potencia de salida en vatios.,Exibe a potência de saída em watts.,,Zeigt die Ausgangsleistung in Watt an.,Visualizza la potenza di uscita in watt.,Відображає вихідну потужність у ватах.,FALSE,,data/phase2/_attachments/lcd_icons/26_Output_Power_MRflbp7C7oqGbdxeWO1cl79XnBc.png,
27,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Remaining Discharge Time,剩余放电时间,バッテリー使用可能時間,Temps de Décharge Restant,Tiempo de Descarga Restante,Tempo de descarga restante,,Verbleibende Entladezeit,Tempo di scarica rimanente,"Час, що залишився до розряджання",,Displays the remaining discharging time.,显示剩余放电时间。,接続した機器の使用可能な時間を表示します。,Affiche le temps de décharge restant.,Muestra el tiempo de descarga restante.,Exibe o tempo de descarga restante.,,Anzeige der verbleibenden Entladezeit.,Visualizza il tempo residuo di scarica.,Відображає залишковий час розряджання.,FALSE,,data/phase2/_attachments/lcd_icons/27_Remaining_Discharge_Time_QvCQbFmEhoQR3kxgWt4c6H9zn0b.png,
1001,,TRUE,V1.0,On,点亮,点灯,Activé,Encendido,Ligado,,Ein,Acceso,Увімкнено,Y,,,,,,,,,,,,,,
1002,,TRUE,V1.0,Off,熄灭,消灯,Désactivé,Apagado,Desligado,,Aus,Spento,Вимкнено,Y,,,,,,,,,,,,,,
1003,,TRUE,V1.0,Blink,闪烁,点滅,Clignotant,Parpadeo,Piscando,,Blinken,Lampeggiante,Блимає,Y,,,,,,,,,,,,,,
