page_id,Figure,image_path,symbol_key,text_en,text_fr,text_es,text_pt-BR,text_de,text_it,text_uk,Is_Latest,Market,enabled,block_type,order,Region,Model,Source_lang
symbols,,,signal_meaning.tips,Supplements the important information or operation tips in the text.,Complète les informations importantes ou les conseils d'utilisation dans le texte.,Complementa la información importante o consejos de operación en el texto.,Complementa informações importantes ou dicas de operação no texto.,Ergänzt wichtige Informationen oder Bedienhinweise im Text.,Integra le informazioni importanti o i consigli operativi nel testo.,Доповнює важливу інформацію або поради з експлуатації в тексті.,TRUE,,,copy_row,110,,,en
symbols,,,alt.signal.warning,Warning signal marker.,,,,,,,TRUE,,,copy_row,120,,,en
symbols,,,alt.signal.caution,Caution signal marker.,,,,,,,TRUE,,,copy_row,130,,,en
symbols,,,alt.signal.note,Note signal marker.,,,,,,,TRUE,,,copy_row,140,,,en
symbols,,,alt.signal.tips,Tip signal marker.,,,,,,,TRUE,,,copy_row,150,,,en
symbols,,,alt.symbol.warning_triangle,Warning triangle symbol.,,,,,,,TRUE,,,copy_row,160,,,en
symbols,,,alt.symbol.read_manual,Read manual symbol.,,,,,,,TRUE,,,copy_row,170,,,en
symbols,,,alt.symbol.electric_shock,Electric shock symbol.,,,,,,,TRUE,,,copy_row,180,,,en
symbols,,,alt.symbol.battery_charging,Battery charging symbol.,,,,,,,TRUE,,,copy_row,190,,,en
symbols,,,alt.symbol.explosive_material,Explosive material symbol.,,,,,,,TRUE,,,copy_row,200,,,en
symbols,,,alt.symbol.heavy_object,Heavy object symbol.,,,,,,,TRUE,,,copy_row,210,,,en
symbols,,,alt.symbol.do_not_dismantle,Do not dismantle symbol.,,,,,,,TRUE,,,copy_row,220,,,en
symbols,,,alt.symbol.no_open_flame,No open flame symbol.,,,,,,,TRUE,,,copy_row,230,,,en
symbols,,,alt.symbol.keep_away_from_children,Keep away from children symbol.,,,,,,,TRUE,,,copy_row,240,,,en
symbols,,,alt.symbol.li_ion,Lithium-ion battery symbol.,,,,,,,TRUE,,,copy_row,250,,,en
symbols,,,alt.symbol.weee,WEEE disposal symbol.,,,,,,,TRUE,,,copy_row,260,,,en
symbols,,,alt.symbol.weee2,Battery disposal symbol.,,,,,,,TRUE,,,copy_row,270,,,en
symbols,,,warning,"Hazardous practices that may result in severe injury, death, and/or property damage.","Pratiques dangereuses pouvant entraîner des blessures graves, la mort et/ou des dommages matériels.","Prácticas peligrosas que pueden resultar en lesiones graves, muerte y/o daños a la propiedad.","Práticas perigosas que podem resultar em lesões graves, morte e/ou danos materiais.","Gefährliche Handlungen, die zu schweren Verletzungen, zum Tod und/oder zu Sachschäden führen können.","Pratiche pericolose che possono causare lesioni gravi, morte e/o danni materiali.","Небезпечні дії, які можуть призвести до тяжких травм, смерті та/або пошкодження майна.",TRUE,,,signal_row,1,all,,
symbols,,,caution,Hazardous practices that may result in personal injury and/or property damage.,Pratiques dangereuses pouvant entraîner des blessures corporelles et/ou des dommages matériels.,Prácticas peligrosas que pueden resultar en lesiones personales y/o daños a la propiedad.,Práticas perigosas que podem resultar em lesões pessoais e/ou danos materiais.,"Gefährliche Handlungen, die zu Personenschäden und/oder zu Sachschäden führen können.",Pratiche pericolose che possono causare lesioni personali e/o danni materiali.,"Небезпечні дії, які можуть призвести до травмування людей та/або пошкодження майна.",TRUE,,,signal_row,2,all,,
symbols,,,note,"Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.","Pratiques dangereuses pouvant entraîner des dommages à l'équipement, une perte de données, une détérioration des performances ou des résultats inattendus.","Prácticas peligrosas que pueden resultar en daños en el equipo, pérdida de datos, deterioro del rendimiento o resultados inesperados.","Práticas perigosas que podem resultar em danos ao equipamento, perda de dados, deterioração do desempenho ou resultados inesperados.","Handlungen, die zu Geräteschäden, Datenverlust, Leistungseinbußen oder unerwarteten Ergebnissen führen können.","Pratiche che possono causare danni all'apparecchiatura, perdita di dati, deterioramento delle prestazioni o risultati imprevisti.","Дії, які можуть призвести до пошкодження обладнання, втрати даних, погіршення продуктивності або неочікуваних результатів.",TRUE,,,signal_row,3,all,,
symbols,,,tips,Supplements the important information or operation tips in the text.,Complète les informations importantes ou les conseils d'utilisation dans le texte.,Complementa la información importante o consejos de operación en el texto.,Complementa informações importantes ou dicas de operação no texto.,Ergänzt wichtige Informationen oder Bedienhinweise im Text.,Integra le informazioni importanti o i consigli operativi nel testo.,Доповнює важливу інформацію або поради з експлуатації в тексті.,TRUE,,,signal_row,4,all,,
symbols,data/phase2/_attachments/symbols/1_warning_triangle_IfHObDBCDowRHbxLvCzci3wen7c.png,data/phase2/_attachments/symbols/1_warning_triangle_IfHObDBCDowRHbxLvCzci3wen7c.png,warning_triangle,Warning and Caution Symbols. Alerts individuals to information that must be read to avoid potential hazards or risks.,Symboles d’avertissement et de mise en garde. Signalent aux personnes des informations qui doivent être lues afin d’éviter les dangers ou risques potentiels.,Símbolos de advertencia y precaución. Alertan a las personas sobre información que debe leerse para evitar posibles peligros o riesgos.,Símbolos de Advertência e Cuidado. Deve ser lido para alertar sobre potenciais perigos ou riscos.,"Warn- und Hinweissymbole. Weisen Personen auf Informationen hin, die gelesen werden müssen, um potenzielle Gefahren oder Risiken zu vermeiden.",Simboli di avvertenza e cautela. Segnalano alle persone le informazioni che devono essere lette per evitare potenziali pericoli o rischi.,"Попереджувальні та застережні символи. Повідомляють користувачам про інформацію, яку необхідно прочитати, щоб уникнути потенційних небезпек або ризиків.",TRUE,"US, EU, pt-BR",,table_row,1,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/2_read_manual_P0fEbfBNKoRiCoxkAm7cq3ymndh.png,data/phase2/_attachments/symbols/2_read_manual_P0fEbfBNKoRiCoxkAm7cq3ymndh.png,read_manual,Read the user manual before operation.,Lire le manuel de l'opérateur ,Lea el manual del operador ,Leia o manual do usuário antes da operação.,Lesen Sie vor der Anwendung die Benutzeranleitung.,"Prima dell’utilizzo, leggere il manuale d’istruzioni.",Перед використанням прочитайте посібник користувача.,TRUE,"US, EU, pt-BR",,table_row,2,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/7_do_not_dismantle_TTrGbm6PdoAFBwx16nXcZOaFnZf.png,data/phase2/_attachments/symbols/7_do_not_dismantle_TTrGbm6PdoAFBwx16nXcZOaFnZf.png,do_not_dismantle,Do not dismantle the product.,Ne démontez pas le produit.,No desarme el producto.,Não desmonte o produto.,Demontieren Sie das Produkt nicht.,Non smontare il prodotto.,Не розбирайте продукт.,TRUE,"US, EU, pt-BR",,table_row,7,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/8_no_open_flame_GOQabZgNNoj1goxlyjHcA0w7n7b.png,data/phase2/_attachments/symbols/8_no_open_flame_GOQabZgNNoj1goxlyjHcA0w7n7b.png,no_open_flame,Keep the product away from fire.,Ne pas fumer ni utiliser de ﬂamme nue,No fumar ni hacer llamas abiertas ,Mantenha o produto longe de fogo.,Vermeiden Sie Hitze.,Tenere il prodotto lontano da fiamme.,Тримайте продукт подалі від вогню.,TRUE,"US, EU, pt-BR",,table_row,8,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/9_keep_away_from_children_AjeEb4GIgoPNpdxkXhFcIeaDnTM.png,data/phase2/_attachments/symbols/9_keep_away_from_children_AjeEb4GIgoPNpdxkXhFcIeaDnTM.png,keep_away_from_children,Keep away from children.,Les enfants ne sont pas admis,No se permiten niños ,Mantenha fora do alcance de crianças.,Halten Sie das Produkt fern von Kindern.,Tenere lontano dalla portata dei bambini.,Тримайте подалі від дітей.,TRUE,"US, EU, pt-BR",,table_row,9,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/10_li_ion_Nkm5benPWobav4xNt0ecDB2nn6D.png,data/phase2/_attachments/symbols/10_li_ion_Nkm5benPWobav4xNt0ecDB2nn6D.png,li_ion,This symbol indicates that a lithium-ion (Li-ion) battery is inside the product and should be disposed of or recycled properly.,"Ce symbole indique que le produit contient une batterie lithium-ion (Li-ion), qui doit être éliminée ou recyclée de manière appropriée.","Este símbolo indica que el producto contiene una batería de iones de litio (Li-ion), la cual debe desecharse o reciclarse de forma adecuada.",Este símbolo indica que há uma bateria de íons de lítio (Li-ion) dentro do produto e que ela deve ser descartada ou reciclada corretamente.,"Dieses Symbol zeigt an, dass sich ein Lithium-Ionen-Akku (Li-Ion) im Produkt befindet und ordnungsgemäß entsorgt oder recycelt werden sollte. ","Questo simbolo indica che all’interno del prodotto è presente una batteria agli ioni di litio (Li-ion), la quale va smaltita o riciclata adeguatamente. ","Цей символ вказує, що всередині продукту є літій-іонна (Li-ion) батарея, яку необхідно утилізувати або переробити належним чином.",TRUE,"US, EU, pt-BR",,table_row,10,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/11_weee_Wx7PbvwWCoznaCxrZ9Pc1KsXnSc.png,data/phase2/_attachments/symbols/11_weee_Wx7PbvwWCoznaCxrZ9Pc1KsXnSc.png,weee,"This symbol indicates that the product shall not be disposed of as household waste, and should be delivered to a designated collection facility for recycling. Proper disposal and recycling can help protect the environment. For more information about the disposal and recycling of this product, contact your local community, disposal service, or dealer.","Ce symbole indique que le produit ne doit pas être jeté avec les ordures ménagères. Il doit être apporté à un point de collecte désigné pour un recyclage approprié.
Une élimination et un recyclage corrects contribuent à la protection de l’environnement. Pour plus d’informations, veuillez contacter votre autorité locale, le service de gestion des déchets ou le revendeur du produit.","Este símbolo indica que el producto no debe desecharse con los residuos domésticos. En su lugar, debe llevarse a un punto de recogida designado para su correcto reciclaje.
El desecho y reciclaje adecuados ayudan a proteger el medioambiente. Para más información, póngase en contacto con su autoridad local, el servicio de gestión de residuos o el distribuidor del producto.","Este símbolo indica que o produto não deve ser descartado como lixo doméstico e deve ser encaminhado a um ponto de coleta designado para reciclagem.
O descarte e a reciclagem adequados podem ajudar a proteger o meio ambiente. Para mais informações sobre o descarte e a reciclagem deste produto, entre em contato com a administração local, o serviço de descarte ou o revendedor.","Dieses Symbol zeigt an, dass das Produkt nicht als Haushaltsabfall entsorgt werden soll und an eine dafür vorgesehene Sammelstelle zur Entsorgung und Recycling gebracht werden sollte.
Eine ordnungsgemäße Entsorgung und Recycling kann dazu beitragen, die Umwelt zu schützen. Für weitere Informationen zur Entsorgung und Recycling dieses Produkts wenden Sie sich an Ihre örtliche Gemeinde, Entsorgungsdienstleistungen oder Ihren Händler.","Questo simbolo indica che il prodotto non va smaltito come rifiuto domestico e deve essere consegnato per il riciclaggio a un centro di raccolta designato.
Smaltire adeguatamente e riciclare aiuta a proteggere l’ambiente. Per maggiori informazioni riguardo lo smaltimento e il riciclaggio di questo prodotto, contattare la propria comunità locale, i servizi di smaltimento o il proprio fornitore.","Цей символ вказує, що продукт не можна утилізувати разом із побутовими відходами, і його слід передати до спеціалізованого пункту збору для переробки.
Правильна утилізація та переробка допомагають захистити довкілля. Для отримання додаткової інформації щодо утилізації та переробки цього продукту зверніться до місцевої громади, служби утилізації або дилера.",TRUE,"US, EU, pt-BR",,table_row,11,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/3_electric_shock_Ctr7btZp2oBcCqxDmHbcrFPEnFd.png,data/phase2/_attachments/symbols/3_electric_shock_Ctr7btZp2oBcCqxDmHbcrFPEnFd.png,electric_shock,Risk of electric shock.,Risque de choc électrique ,Riesgo de descarga eléctrica,Risco de choque elétrico,test,test,test,TRUE,"US, pt-BR",,table_row,3,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/4_battery_charging_N9ppbBQWdoPM5bxEammcGFItnpd.png,data/phase2/_attachments/symbols/4_battery_charging_N9ppbBQWdoPM5bxEammcGFItnpd.png,battery_charging,Battery charging,Chargement de la batterie ,Carga de batería,Carregamento da bateria,test,test,test,TRUE,"US, pt-BR",,table_row,4,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/5_explosive_material_F4J3bCXAeoUk7sxrOg2ch60anHf.png,data/phase2/_attachments/symbols/5_explosive_material_F4J3bCXAeoUk7sxrOg2ch60anHf.png,explosive_material,Explosive material,Matière explosive ,Material explosivo ,Material explosivo,test,test,test,TRUE,"US, pt-BR",,table_row,5,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/6_heavy_object_M31Fbb3XeoQ0ClxmK2Lc9I5snYi.png,data/phase2/_attachments/symbols/6_heavy_object_M31Fbb3XeoQ0ClxmK2Lc9I5snYi.png,heavy_object,Heavy object,Objet lourd ,Objeto pesado ,Objeto pesado,test,test,test,TRUE,"US, pt-BR",,table_row,6,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
symbols,data/phase2/_attachments/symbols/12_weee2_EGYNbKyl6oZs31xaAJScMyBfnxh.png,data/phase2/_attachments/symbols/12_weee2_EGYNbKyl6oZs31xaAJScMyBfnxh.png,weee2,"Batteries and accumulators must not be disposed of with household waste.
As a consumer, you are legally required to dispose of all batteries and accumulators at designated collection points, regardless of whether they contain hazardous substances.
Please return used batteries and accumulators to a local collection point, recycling center, or to the retailer where they were purchased. Proper disposal ensures environmentally responsible recycling and prevents potential harm to human health and the environment.","Les piles et accumulateurs ne doivent pas être jetés avec les ordures ménagères.
En tant que consommateur, vous êtes légalement tenu de déposer toutes les piles et accumulateurs dans des points de collecte désignés, qu'ils contiennent ou non des substances dangereuses.
Veuillez rapporter les piles et accumulateurs usagés à un point de collecte local, un centre de recyclage ou au détaillant où ils ont été achetés. Une élimination appropriée garantit un recyclage respectueux de l'environnement et prévient les dommages potentiels pour la santé humaine et l'environnement.","Las baterías y acumuladores no deben desecharse junto con los residuos domésticos.
Como consumidor, usted está obligado por ley a desechar todas las baterías y acumuladores en los puntos de recolección designados, independientemente de si contienen sustancias peligrosas.
Devuelva las baterías y acumuladores usados a un punto de recolección local, un centro de reciclaje o al minorista donde los compró. La eliminación adecuada garantiza un reciclaje responsable con el medio ambiente y evita posibles daños a la salud humana y al medio ambiente.",test,"Batterien und Akkumulatoren dürfen nicht über den Hausmüll entsorgt werden.
Als Verbraucher sind Sie gesetzlich verpflichtet, alle Batterien und Akkumulatoren an dafür vorgesehenen Sammelstellen zu entsorgen, unabhängig davon, ob sie Schadstoffe enthalten.
Bitte geben Sie gebrauchte Batterien und Akkumulatoren an einer örtlichen Sammelstelle, einem Recyclingzentrum oder beim Händler zurück, bei dem sie gekauft wurden. Die ordnungsgemäße Entsorgung gewährleistet eine umweltgerechte Wiederverwertung und verhindert mögliche Schäden für die menschliche Gesundheit und die Umwelt.","Le batterie e gli accumulatori non devono essere smaltiti insieme ai rifiuti domestici.
Come consumatore, sei legalmente obbligato a smaltire tutte le batterie e gli accumulatori nei punti di raccolta designati, indipendentemente dal fatto che contengano sostanze pericolose.
Per favore, restituisci le batterie e gli accumulatori usati a un punto di raccolta locale, a un centro di riciclo o al rivenditore presso cui sono stati acquistati. Un corretto smaltimento garantisce un riciclo responsabile per l'ambiente e previene potenziali danni alla salute umana e all'ambiente.","Батарейки та акумулятори не можна викидати разом із побутовими відходами.
Як споживач ви юридично зобов’язані здавати всі батарейки та акумулятори у визначені пункти збору, незалежно від того, чи містять вони небезпечні речовини.
Будь ласка, повертайте використані батарейки та акумулятори до місцевих пунктів збору, центрів переробки або до продавця, у якого їх було придбано. Правильна утилізація забезпечує екологічно безпечну переробку та запобігає потенційній шкоді для здоров’я людей і довкілля. ",FALSE,"US, pt-BR",,table_row,12,US,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",en
