"id","part","text_en","text_fr","text_es","text_ja"
"11.0","top","To reduce the risk of electric shock, unplug the product from any power source before attempting any technical service or troubleshooting.","Pour réduire le risque de choc électrique, débranchez le produit de toute source d'alimentation avant d'effectuer un entretien technique ou un dépannage.","Para reducir el riesgo de descarga eléctrica, desconecta el producto de cualquier fuente de energía antes de realizar servicio técnico o resolución de problemas.","感電の危険を低減するため、技術サービスやトラブルシューティングを行う前に、本製品をすべての電源から外してください。"
"20.0","save_title","SAVE THESE INSTRUCTIONS","CONSERVEZ CES INSTRUCTIONS","GUARDE ESTAS INSTRUCCIONES","この取扱説明書を保管してください"
"21.0","bottom","Stop using the product immediately if it shows signs of damage. Discontinue use and contact customer support for assistance.","Cessez immédiatement d'utiliser le produit s'il présente des signes de dommage. Arrêtez l'utilisation et contactez l'assistance clientèle pour obtenir de l'aide.","Deja de usar el producto de inmediato si muestra signos de daño. Suspende el uso y contacta al servicio al cliente para recibir asistencia.","本製品に損傷の兆候が見られる場合は、直ちに使用を中止してください。使用を中止し、カスタマーサポートに連絡してください。"
"22.0","bottom","Do not charge the battery in extremely hot or cold environments and strictly adhere to the specified operating temperature ranges.","Ne rechargez pas la batterie dans un environnement extrêmement chaud ou froid, et respectez strictement les plages de températures spécifiées.","No cargues la batería en ambientes extremadamente calientes o fríos, y respeta estrictamente los rangos de temperatura especificados para el producto.","極端に高温または低温の環境でバッテリーを充電しないでください。必ず指定された動作温度範囲を守ってください。"
"23.0","bottom","Charging temperature: -4°F to 113°F (-20°C to 45°C).","Température de charge : -4°F à 113°F (-20°C à 45°C)","Temperatura de carga: -4°F a 113°F (-20°C a 45°C)","充電温度範囲：-4°F ～ 113°F（-20℃ ～ 45℃）。"
"24.0","bottom","Discharging temperature: -4°F to 113°F (-20°C to 45°C).","Température de décharge : -4°F à 113°F (-20°C à 45°C)","Temperatura de descarga: -4°F a 113°F (-20°C a 45°C)","放電温度範囲：-4°F ～ 113°F（-20℃ ～ 45℃）。"
"25.0","bottom","To ensure proper air circulation, keep the product vents uncovered.","Pour garantir une circulation de l'air adéquate, laissez les orifices de ventilation du produit dégagés. Utilisez-le dans un endroit bien aéré, frais et sec pour éviter toute surchauffe.","Para garantizar una circulación de aire adecuada, no cubras las rejillas de ventilación del producto. El área donde se use debe tener suficiente flujo de aire en un ambiente fresco y seco para evitar el sobrecalentamiento.","適切な空気循環を確保するため、本製品の通気口をふさがないでください。"
"26.0","bottom","Charging in damp or poorly ventilated spaces may cause safety hazards.","La charge dans un environnement humide ou mal ventilé peut présenter des risques pour la sécurité.","Cargar en espacios húmedos o mal ventilados puede representar riesgos para la seguridad.","湿気の多い場所や換気の悪い場所で充電すると、安全上の危険を招くおそれがあります。"
"27.0","bottom","Water can cause short circuits or damage to the charger, leading to safety risks.","L'eau peut provoquer des courts-circuits ou endommager le chargeur, entraînant des risques pour la sécurité.","El agua puede provocar cortocircuitos o dañar el cargador, generando riesgos para la seguridad.","水は短絡や充電器の損傷を引き起こし、安全上の危険につながるおそれがあります。"
"28.0","bottom","Unplug the power cord from a power outlet during a storm.","Débranchez le cordon d'alimentation de la prise secteur pendant un orage.","Desconecta el cable de alimentación de la toma de corriente durante tormentas eléctricas.","雷雨の際は、電源コードをコンセントから抜いてください。"
"29.0","bottom","Immediately turn off the product if it has fallen, been dropped, or exposed to vibrations.","Éteignez immédiatement le produit à l'aide du bouton d'alimentation s'il est tombé, a subi un choc ou a été exposé à des vibrations.","Apaga el producto de inmediato presionando el botón de encendido si se ha caído, golpeado o expuesto a vibraciones.","本製品が転倒したり、落下したり、振動を受けた場合は、直ちに電源を切ってください。"
"30.0","bottom","Ensure the device(s) are powered off before connecting them to the product.","Assurez-vous que les appareil(s) sont éteints avant de les connecter au produit.","Asegúrate de que los dispositivos estén apagados antes de conectarlos al producto.","本製品に接続する前に、接続先の機器の電源がオフになっていることを確認してください。"
"31.0","bottom","Do not charge the product using a damaged or broken charging cord or plug.","Ne rechargez pas le produit avec un câble ou une fiche endommagé(e).","No cargues el producto con un cable o enchufe dañado.","損傷または破損した充電コードやプラグを使用して本製品を充電しないでください。"
"32.0","bottom","Do not use the product to charge any device with a damaged or broken cable or plug.","N'utilisez pas le produit pour charger un appareil équipé d'un câble ou d'une fiche endommagé(e).","No uses el producto para cargar dispositivos con un cable o enchufe dañado.","損傷または破損したケーブルやプラグを持つ機器の充電に、本製品を使用しないでください。"
"33.0","bottom","Always unplug the charging cord by pulling the plug, not the cord, to reduce the risk of damage.","Débranchez toujours le cordon de charge en tirant sur la fiche, jamais sur le câble, afin de réduire le risque de dommage.","Siempre desconecta el cable de carga tirando del enchufe, no del cable, para reducir el riesgo de daño.","損傷の危険を減らすため、充電コードを抜くときはコードではなくプラグを持って抜いてください。"
"34.0","bottom","Ensure the product is properly secured when transporting it in a moving vehicle.","Veillez à ce que le produit soit correctement fixé lors du transport dans un véhicule en mouvement.","Asegúrate de que el producto esté bien asegurado al transportar en un vehículo en movimiento.","走行中の車両で輸送する場合は、本製品が適切に固定されていることを確認してください。"
"35.0","bottom","DO NOT place the unit upside down or on its side during use or storage.","NE placez PAS l'appareil à l'envers ou sur le côté pendant l'utilisation ou le stockage.","NO coloques la unidad boca abajo o en su lado durante el uso o almacenamiento.","使用時または保管時に、本体を上下逆さままたは横向きに置かないでください。"
"36.0","bottom","DO NOT place the product on the floor or at a height less than 18 inches (457 mm) above the floor during operation in a workshop or repair facility.","NE placez PAS le produit sur le sol ou à une hauteur inférieure à 18 pouces (457 mm) au-dessus du sol pendant son utilisation dans un atelier ou un centre de réparation.","NO coloques el producto en el suelo o a una altura menor de 18 pulgadas (457 mm) sobre el suelo durante la operación en un taller o centro de reparación.","工場や修理施設で使用する場合、運転中は本製品を床の上、または床から18インチ（457 mm）未満の高さに置かないでください。"
"37.0","bottom","DO NOT use the product's accessories with other devices or equipment.","N'utilisez PAS les accessoires du produit avec d'autres appareils ou équipements.","NO uses los accesorios del producto con otros dispositivos o equipos.","本製品の付属品を、他の機器や設備に使用しないでください。"
"38.0","bottom","Solar charge time depends on weather conditions. Place your solar panel where it will get as much direct sunlight as possible.","Le temps de charge solaire dépend des conditions météorologiques. Placez votre panneau solaire à un endroit exposé au soleil direct autant que possible.","El tiempo de carga solar depende de las condiciones meteorológicas. Coloca tu panel solar donde reciba la mayor cantidad posible de luz solar directa.","ソーラーパネルでの充電時間は天候条件により異なります。できるだけ直射日光が当たる場所にソーラーパネルを設置してください。"
"100","title_main","IMPORTANT SAFETY INFORMATION","INFORMATIONS DE SÉCURITÉ IMPORTANTES","INFORMACIÓN IMPORTANTE DE SEGURIDAD","安全上のご注意"
"101","warning_title","INSTRUCTIONS PERTAINING TO RISK OF FIRE, ELECTRIC SHOCK, OR INJURY TO PERSONS","INSTRUCTIONS CONCERNANT LES RISQUES D’INCENDIE, DE CHOC ÉLECTRIQUE OU DE BLESSURES","INSTRUCCIONES RELATIVAS AL RIESGO DE INCENDIO, DESCARGA ELÉCTRICA O LESIONES PERSONALES","火災、感電、またはけがの危険に関する注意事項"
"102","title_operating","OPERATING INSTRUCTIONS","INSTRUCTIONS D'UTILISATION","INSTRUCCIONES DE USO","取扱上の注意"
